GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH)
100050511022,2,Block Group 2_ Tract 51102,Sussex,542,510,4,23,4,0,1,509,477,4,23,4,0,1
100050510051,2,Block Group 1_ Tract 51005,Sussex,2591,2233,135,78,43,49,53,2160,1907,109,45,33,38,28
100050510031,2,Block Group 1_ Tract 51003,Sussex,1634,1455,55,69,27,2,26,1370,1256,38,49,16,2,9
100050511033,2,Block Group 3_ Tract 51103,Sussex,55,53,0,0,0,0,2,48,46,0,0,0,0,2
100050509023,2,Block Group 3_ Tract 50902,Sussex,497,483,5,1,2,1,5,434,422,5,1,2,1,3
100050509021,2,Block Group 1_ Tract 50902,Sussex,1857,1650,138,41,11,2,15,1707,1530,131,29,10,2,5
100050509011,2,Block Group 1_ Tract 50901,Sussex,2244,2029,56,80,40,7,32,1907,1739,47,63,32,7,19
100050509022,2,Block Group 2_ Tract 50902,Sussex,1889,1594,130,74,5,8,78,1590,1414,87,50,5,7,27
100050510042,2,Block Group 2_ Tract 51004,Sussex,1994,1744,80,62,62,10,36,1758,1591,61,44,42,8,12
100050507051,2,Block Group 1_ Tract 50705,Sussex,1680,1623,8,27,0,4,18,1515,1472,8,20,0,4,11
100050510041,2,Block Group 1_ Tract 51004,Sussex,2206,1888,115,75,59,28,41,1820,1579,100,50,45,21,25
100050512041,2,Block Group 1_ Tract 51204,Sussex,263,258,0,1,0,0,4,252,247,0,1,0,0,4
100050513033,2,Block Group 3_ Tract 51303,Sussex,1240,1118,14,77,10,3,18,1072,988,12,51,8,3,10
100050513052,2,Block Group 2_ Tract 51305,Sussex,550,540,2,1,1,2,4,519,511,1,1,1,2,3
100050513063,2,Block Group 3_ Tract 51306,Sussex,500,466,5,7,6,0,16,433,413,5,6,4,0,5
100050513051,2,Block Group 1_ Tract 51305,Sussex,1251,1193,10,18,6,10,14,1115,1075,6,14,5,8,7
