GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH)
5306565014 ,0,Mill Creek Voting District,,484,464,0,7,2,7,4
53073730067,0,73Van Wyck 4 Voting District,,1237,1080,2,44,67,10,34
53073731091,0,73Bham 91 Voting District,,542,352,2,48,122,8,10
53073WVBY42AAAAA,0,,,0,0,0,0,0,0,0
53073730039A,0,,,0,0,0,0,0,0,0
53073730002,0,73Acme 2 Voting District,,720,653,0,37,1,5,24
53073731121,0,73Bham 121 Voting District*,,770,712,2,16,27,9,4
53073731081,0,73Bham 81 Voting District*,,2036,1518,19,241,119,80,59
5305151007 ,0,Ione E Voting District,,719,657,1,16,6,14,25
53073730042,0,73Marietta 4 Voting District*,,1499,1221,13,98,108,32,27
53073MTBKERAAAAAAAAAAAAAA,0,,,0,0,0,0,0,0,0
53073731102,0,73Bham 102 Voting District*,,1414,1311,4,28,35,6,30
53073730050,0,73Park Voting District,,1061,1003,4,18,20,4,12
53073730068,0,73Van Wyck 5 Voting District,,1080,1005,11,24,18,3,19
5304747    ,0,47Wauconda Voting District,,134,109,0,16,1,3,5
53073731111,0,73Bham 111 Voting District,,676,633,1,13,6,12,11
53073731061,0,73Bham 61 Voting District*,,1430,1221,28,69,45,26,41
53073731071,0,73Bham 71 Voting District*,,919,849,3,30,17,2,18
53073731034,0,73Bham 34 Voting District,,851,758,9,18,43,7,16
53073731024,0,73Bham 24 Voting District,,735,690,6,12,12,2,13
53073731114,0,73Bham 114 Voting District,,1166,1068,4,24,40,3,27
5301919011 ,0,N Lake Voting District,,201,191,0,5,0,1,4
53073731134,0,73Bham 134 Voting District,,806,693,12,36,40,8,17
53073731044,0,73Bham 44 Voting District*,,929,862,4,4,28,3,28
53073731012,0,73Bham 12 Voting District,,594,522,5,26,10,17,14
53073MTBKERAAAAAAAAAAAAAAA,0,,,0,0,0,0,0,0,0
53073WVBY42AAAAAA,0,,,0,0,0,0,0,0,0
53073WVLK42,0,WV Lake Whatcom Leg 42 Voting District,,0,0,0,0,0,0,0
53073731031,0,73Bham 31 Voting District*,,998,900,14,35,20,15,14
53073731132,0,73Bham 132 Voting District*,,1743,1232,36,208,146,38,83
53073731042,0,73Bham 42 Voting District*,,1003,917,1,28,21,10,26
53073731062,0,73Bham 62 Voting District*,,987,886,7,37,13,7,37
53073MTBKERAAAAAAAAAAAAAAAA,0,,,0,0,0,0,0,0,0
53073731032,0,73Bham 32 Voting District,,1285,1101,5,76,39,27,37
53073731041,0,73Bham 41 Voting District,,694,618,0,47,8,2,19
53073731011,0,73Bham 11 Voting District,,1267,1166,6,29,23,17,26
53073731022,0,73Bham 22 Voting District,,1512,1279,14,104,35,34,46
53073731084,0,73Bham 84 Voting District,,1856,1694,12,47,28,20,55
53073731094,0,73Bham 94 Voting District*,,1771,1308,24,226,90,66,57
53073731014,0,73Bham 14 Voting District,,988,791,22,34,81,18,42
53073731104,0,73Bham 104 Voting District,,708,686,3,4,3,1,11
53073731053,0,73Bham 53 Voting District,,879,719,6,73,32,27,22
53073WVLK40,0,WV Lake Whatcom Leg 40 Voting District,,0,0,0,0,0,0,0
53073MTBKERAAAAAAAAAAAAAAAAA,0,,,0,0,0,0,0,0,0
53073WVBE42A,0,,,0,0,0,0,0,0,0
53073730003A,0,,,0,0,0,0,0,0,0
53073731013,0,73Bham 13 Voting District,,938,734,20,57,24,78,25
53073WVBE42,0,WV Bellingham Leg 42 Voting District,,0,0,0,0,0,0,0
53073731054,0,73Bham 54 40th Voting District*,,98,97,0,0,1,0,0
53073731093,0,73Bham 93 Voting District,,1537,1288,17,99,52,21,60
5301919022 ,0,Storm King Voting District,,274,249,0,6,0,5,14
53073731043,0,73Bham 43 Voting District*,,1291,1162,9,58,18,15,29
53073731033,0,73Bham 33 Voting District,,712,634,6,24,16,12,20
53073730026,0,73Geneva 1 Voting District*,,145,138,1,3,1,0,2
53073730027,0,73Geneva 2 40th Voting District,,1174,1087,1,43,14,14,15
53073WVBE42AA,0,,,0,0,0,0,0,0,0
53073730028,0,73Geneva 3 40th Voting District,,1490,1403,13,27,18,8,21
53073731063,0,73Bham 63 40th Voting District*,,995,823,13,68,20,17,54
5301919020 ,0,S Lake Voting District,,224,209,0,5,1,0,9
53073730032,0,73Lummi Island Voting District*,,822,784,4,6,4,6,18
53073731074,0,73Bham 74 40th Voting District,,399,365,1,10,10,3,10
53073731064,0,73Bham 64 40th Voting District,,1036,912,0,41,49,6,28
53073730034,0,73Lummi Res S Voting District*,,1493,449,1,72,5,931,35
53073731103,0,73Bham 103 40th Voting District*,,1166,1004,10,44,52,13,43
53073731133,0,73Bham 133 40th Voting District,,675,617,2,22,19,1,14
53073731143,0,73Bham 143 40th Voting District,,777,710,4,23,24,4,12
53073731083,0,73Bham 83 40th Voting District*,,506,423,6,26,30,5,16
53073731123,0,73Bham 123 40th Voting District,,1436,1208,27,63,79,18,41
53073731035,0,73Bham 35 Voting District,,1216,1145,4,24,18,7,18
53073WVBE42AAA,0,,,0,0,0,0,0,0,0
53073731095,0,73Bham 95 40th Voting District,,1320,1173,7,39,46,12,43
53073731065,0,73Bham 65 40th Voting District,,2081,1763,26,46,146,3,97
53073731055,0,73Bham 55 40th Voting District,,1417,1048,31,50,215,18,55
53073730005,0,73Crescent 1 40th Voting District,,1222,1153,1,23,19,1,25
53073731015,0,73Bham 15 40th Voting District,,1208,1065,3,24,75,10,31
