GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote,Avg Dem Vote,Avg Rep Vote
410470102022,5,Block Group 2_ Tract 10202,Marion,2231,1392,10,749,22,22,36,1548,1073,4,415,17,16,23,962,438,503,0,0
410470016013,5,Block Group 3_ Tract 1601,Marion,1819,988,14,729,46,17,25,1311,845,13,388,41,12,12,664,327,324,0,0
410470017022,5,Block Group 2_ Tract 1702,Marion,1669,1009,12,426,138,31,53,1183,820,6,210,96,25,26,484,248,224,0,0
410470009003,5,Block Group 3_ Tract 9,Marion,922,620,7,199,34,16,46,774,566,6,119,34,11,38,233,158,66,0,0
410470028001,5,Block Group 1_ Tract 28,Marion,1496,1279,9,147,21,8,32,1153,1022,8,83,15,6,19,928,423,485,0,0
410470017031,5,Block Group 1_ Tract 1703,Marion,1160,1021,6,93,7,10,23,935,856,5,53,3,6,12,708,284,411,0,0
410470022023,5,Block Group 3_ Tract 2202,Marion,2526,2209,22,151,60,24,60,1833,1663,11,67,44,20,28,1370,754,587,0,0
410470016031,5,Block Group 1_ Tract 1603,Marion,1965,1201,8,561,116,19,60,1338,907,6,304,88,9,24,797,360,420,0,0
410359719002,2,Block Group 2_ Tract 9719,Klamath,741,589,5,81,6,38,22,562,477,3,38,6,25,13,274,108,155,0,0
410359719001,2,Block Group 1_ Tract 9719,Klamath,712,568,11,52,5,44,32,544,447,11,33,5,31,17,248,88,152,0,0
410359720004,2,Block Group 4_ Tract 972,Klamath,929,813,3,55,13,24,21,728,656,1,34,10,14,13,360,152,200,0,0
410359705001,2,Block Group 1_ Tract 9705,Klamath,1012,816,4,141,3,24,24,804,681,3,82,3,16,19,526,99,414,0,0
410359705002,2,Block Group 2_ Tract 9705,Klamath,596,526,6,23,5,16,20,490,439,6,15,4,15,11,293,58,228,0,0
410359707002,2,Block Group 2_ Tract 9707,Klamath,1522,1068,0,396,4,18,36,1112,833,0,240,4,15,20,635,132,491,0,0
410359707001,2,Block Group 1_ Tract 9707,Klamath,652,504,2,123,4,3,16,514,427,2,70,4,2,9,338,64,267,0,0
410359704001,2,Block Group 1_ Tract 9704,Klamath,1418,1171,2,186,8,28,23,1080,936,1,108,6,13,16,748,138,590,0,0
410359706001,2,Block Group 1_ Tract 9706,Klamath,1608,940,1,625,1,16,25,1166,749,1,384,1,12,19,608,117,474,0,0
410470018025,5,Block Group 5_ Tract 1802,Marion,1512,836,28,476,71,20,81,1025,664,18,252,45,14,32,447,236,201,0,0
410470106002,5,Block Group 2_ Tract 106,Marion,1389,1206,2,86,10,30,55,1073,958,2,48,6,20,39,708,259,433,0,0
410470103043,5,Block Group 3_ Tract 10304,Marion,1132,255,6,858,0,3,10,730,191,4,526,0,3,6,200,119,76,0,0
410470016011,5,Block Group 1_ Tract 1601,Marion,1088,625,9,365,51,12,26,831,545,7,213,36,11,19,223,122,95,0,0
410470105011,5,Block Group 1_ Tract 10501,Marion,1563,1462,3,51,14,9,24,1215,1135,3,39,10,7,21,869,353,496,0,0
410470105021,5,Block Group 1_ Tract 10502,Marion,3023,2398,7,506,31,32,49,2061,1708,4,280,26,21,22,1330,718,589,0,0
410470103042,5,Block Group 2_ Tract 10304,Marion,2612,617,26,1922,17,3,27,1607,440,12,1128,9,3,15,473,268,193,0,0
410470023011,5,Block Group 1_ Tract 2301,Marion,2283,1961,15,164,66,19,58,1712,1512,10,98,55,10,27,1150,598,529,0,0
410470103031,5,Block Group 1_ Tract 10303,Marion,2508,746,13,1667,16,20,46,1587,571,6,951,15,16,28,456,234,214,0,0
410470009007,5,Block Group 7_ Tract 9,Marion,578,471,6,45,23,5,28,539,449,3,37,20,5,25,216,154,56,0,0
410470023012,5,Block Group 2_ Tract 2301,Marion,893,754,5,78,17,7,32,637,554,4,42,14,3,20,436,224,203,0,0
410470010001,5,Block Group 1_ Tract 1,Marion,1108,652,16,341,21,30,48,798,520,13,197,18,23,27,277,156,110,0,0
410470104004,5,Block Group 4_ Tract 104,Marion,1182,629,10,502,3,3,35,777,476,6,269,1,3,22,432,201,225,0,0
410470103071,5,Block Group 1_ Tract 10307,Marion,2746,2074,6,554,67,7,38,2249,1837,6,321,51,7,27,1156,586,551,0,0
410470106003,5,Block Group 3_ Tract 106,Marion,642,573,2,30,2,12,23,517,465,1,21,1,10,19,320,148,160,0,0
410470105022,5,Block Group 2_ Tract 10502,Marion,2272,2025,9,174,12,16,36,1611,1468,5,88,8,15,27,1042,561,462,0,0
410470017032,5,Block Group 2_ Tract 1703,Marion,1403,964,9,339,48,12,31,1036,795,5,183,29,10,14,483,246,225,0,0
410470107011,5,Block Group 1_ Tract 10701,Marion,1351,1162,2,129,6,29,23,963,867,0,61,4,19,12,573,232,325,0,0
410470108013,5,Block Group 3_ Tract 10801,Marion,1498,1372,10,74,15,6,21,1170,1096,3,47,6,3,15,837,319,500,0,0
410470105013,5,Block Group 3_ Tract 10501,Marion,1753,1591,1,99,28,15,19,1321,1224,0,57,22,8,10,915,432,466,0,0
410470018013,5,Block Group 3_ Tract 1801,Marion,1520,999,13,379,62,18,49,1087,787,10,210,41,12,27,517,269,234,0,0
410470018032,5,Block Group 2_ Tract 1803,Marion,2932,2212,199,363,55,61,42,2849,2149,197,353,52,58,40,198,78,114,0,0
410470018012,5,Block Group 2_ Tract 1801,Marion,1223,918,7,223,37,13,25,1006,808,7,136,29,13,13,398,221,167,0,0
410470024001,5,Block Group 1_ Tract 24,Marion,1260,1122,4,41,37,7,49,985,897,4,27,25,5,27,752,421,318,0,0
410470027005,5,Block Group 5_ Tract 27,Marion,2212,1973,3,119,57,12,48,1759,1599,3,77,41,11,28,1337,527,786,0,0
410470016033,5,Block Group 3_ Tract 1603,Marion,1418,776,3,547,39,14,39,987,612,2,314,27,10,22,418,208,199,0,0
410470017033,5,Block Group 3_ Tract 1703,Marion,1774,1052,15,570,73,16,48,1211,813,11,301,53,11,22,486,250,224,0,0
410470017021,5,Block Group 1_ Tract 1702,Marion,1652,936,5,582,63,25,41,1109,715,4,311,47,15,17,438,226,202,0,0
410470020002,5,Block Group 2_ Tract 2,Marion,2123,1672,42,215,135,6,53,1466,1188,23,132,93,6,24,891,440,437,0,0
410470103064,5,Block Group 4_ Tract 10306,Marion,718,516,2,182,4,4,10,613,496,2,100,4,2,9,269,143,121,0,0
410470101002,5,Block Group 2_ Tract 101,Marion,633,444,0,164,6,4,15,478,345,0,113,5,4,11,309,105,200,0,0
410470103065,5,Block Group 5_ Tract 10306,Marion,1308,520,1,757,7,7,16,915,397,1,498,5,6,8,285,169,107,0,0
410470105023,5,Block Group 3_ Tract 10502,Marion,658,583,0,59,5,4,7,507,459,0,34,4,4,6,327,177,144,0,0
410470108012,5,Block Group 2_ Tract 10801,Marion,987,848,2,93,12,3,29,745,651,1,62,10,3,18,527,202,312,0,0
410470107023,5,Block Group 3_ Tract 10702,Marion,2740,2578,5,83,13,13,48,2147,2047,2,46,12,11,29,1394,533,843,0,0
410470016021,5,Block Group 1_ Tract 1602,Marion,2293,792,38,1298,79,26,60,1460,606,27,727,56,16,28,390,215,164,0,0
410470015033,5,Block Group 3_ Tract 1503,Marion,1459,1102,12,290,17,8,30,1076,859,8,172,14,7,16,431,226,192,0,0
410470015013,5,Block Group 3_ Tract 1501,Marion,1583,1268,17,203,22,26,47,1266,1059,13,131,17,16,30,726,336,372,0,0
410470020003,5,Block Group 3_ Tract 2,Marion,2330,2026,12,144,81,8,59,1660,1486,8,69,63,5,29,1038,496,527,0,0
410470020004,5,Block Group 4_ Tract 2,Marion,2086,1700,24,178,107,25,52,1596,1348,19,101,82,17,29,998,477,507,0,0
410470011003,5,Block Group 3_ Tract 11,Marion,1307,1088,11,129,18,19,42,1044,907,8,78,14,12,25,676,412,251,0,0
410470005011,5,Block Group 1_ Tract 501,Marion,1527,806,13,604,58,15,31,1020,635,7,316,38,10,14,470,279,179,0,0
410470005021,5,Block Group 1_ Tract 502,Marion,672,282,7,275,74,13,21,473,238,5,165,41,13,11,114,70,40,0,0
410470005022,5,Block Group 2_ Tract 502,Marion,1765,628,16,1011,45,31,34,1165,509,8,576,32,23,17,277,171,97,0,0
410470004003,5,Block Group 3_ Tract 4,Marion,1291,614,9,520,64,10,74,858,489,8,275,35,9,42,238,147,83,0,0
410470018023,5,Block Group 3_ Tract 1802,Marion,1276,716,20,433,43,25,39,819,522,15,223,29,13,17,389,203,176,0,0
410470021011,5,Block Group 1_ Tract 2101,Marion,1425,1183,13,138,13,37,41,1198,1029,11,93,13,26,26,616,361,237,0,0
410470017012,5,Block Group 2_ Tract 1701,Marion,1945,1068,13,755,53,27,29,1424,927,13,406,42,19,17,485,258,215,0,0
410470105012,5,Block Group 2_ Tract 10501,Marion,814,746,2,40,7,8,11,621,583,2,21,6,3,6,432,159,265,0,0
410470101001,5,Block Group 1_ Tract 101,Marion,844,651,0,185,2,2,4,573,455,0,113,2,2,1,387,152,229,0,0
410470002001,5,Block Group 1_ Tract 2,Marion,672,538,7,76,18,12,21,566,466,7,55,14,10,14,300,199,94,0,0
410470103052,5,Block Group 2_ Tract 10305,Marion,1255,528,3,689,6,7,22,838,405,3,408,6,7,9,292,129,155,0,0
410470103051,5,Block Group 1_ Tract 10305,Marion,1721,464,0,1242,2,6,7,1131,359,0,760,2,5,5,306,160,140,0,0
410470005023,5,Block Group 3_ Tract 502,Marion,2889,1105,40,1574,73,40,57,1910,899,27,889,44,27,24,454,280,160,0,0
410470004002,5,Block Group 2_ Tract 4,Marion,1740,917,24,660,19,46,74,1161,688,20,375,17,29,32,448,272,161,0,0
410470014021,5,Block Group 1_ Tract 1402,Marion,1495,1232,9,155,29,18,52,1141,971,7,91,25,17,30,711,361,332,0,0
410470014022,5,Block Group 2_ Tract 1402,Marion,1713,1315,16,242,36,32,72,1235,1007,11,133,28,21,35,771,391,360,0,0
410470102021,5,Block Group 1_ Tract 10202,Marion,1316,1086,5,187,3,6,29,1078,923,5,118,3,6,23,651,271,364,0,0
410470016022,5,Block Group 2_ Tract 1602,Marion,1932,632,31,1039,126,33,71,1367,545,27,632,97,27,39,362,201,152,0,0
410470020001,5,Block Group 1_ Tract 2,Marion,2669,2234,29,239,66,27,74,2109,1843,22,138,53,21,32,1262,700,539,0,0
410470011001,5,Block Group 1_ Tract 11,Marion,1272,1035,19,150,26,9,33,978,834,16,80,17,8,23,627,383,230,0,0
410170017002,2,Block Group 2_ Tract 17,Deschutes,1985,1695,14,186,9,17,64,1485,1302,11,112,8,15,37,865,472,375,0,0
410170019021,2,Block Group 1_ Tract 1902,Deschutes,4796,4153,23,375,92,39,114,3547,3173,14,200,69,31,60,2067,1005,1030,0,0
410170019022,2,Block Group 2_ Tract 1902,Deschutes,1579,1282,4,249,14,5,25,1224,1043,4,144,11,5,17,930,443,473,0,0
410170020004,2,Block Group 4_ Tract 2,Deschutes,1848,1545,14,228,11,12,38,1348,1166,11,134,10,9,18,829,417,399,0,0
410170020001,2,Block Group 1_ Tract 2,Deschutes,1030,958,0,48,8,4,12,887,839,0,30,6,4,8,670,275,385,0,0
410170010014,2,Block Group 4_ Tract 1001,Deschutes,3300,2573,7,568,30,37,85,2222,1821,6,311,19,25,40,1143,477,642,0,0
410170017001,2,Block Group 1_ Tract 17,Deschutes,2733,2347,15,263,21,23,64,2064,1822,10,163,17,16,36,1209,643,544,0,0
410170017004,2,Block Group 4_ Tract 17,Deschutes,1960,1740,5,122,32,26,35,1436,1312,1,75,21,12,15,897,462,419,0,0
410170018003,2,Block Group 3_ Tract 18,Deschutes,2250,1843,9,271,53,17,57,1815,1554,7,161,42,13,38,895,516,355,0,0
410170018004,2,Block Group 4_ Tract 18,Deschutes,1223,1019,0,160,18,7,19,1067,933,0,97,17,6,14,560,287,262,0,0
410170004012,2,Block Group 2_ Tract 401,Deschutes,1953,1752,9,110,12,13,57,1530,1405,7,64,11,9,34,1075,523,536,0,0
