GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
470593052,1,12 Hardins Voting District,Greene,2782,2608,25,91,9,15,34,766,227,526
470593004,1,11 Woodlawn Voting District,Greene,2080,2011,15,21,3,5,25,749,197,534
470593088,1,23 Mosheim Voting District,Greene,2995,2904,10,41,10,3,27,1087,302,763
470593092,1,07 Mt. Carmel Voting District,Greene,1737,1699,2,21,2,3,10,494,131,349
470593128,1,16 Lost Mountain Voting District,Greene,680,646,23,7,0,1,3,246,65,173
470593024,1,21 Cross Anchor Voting District,Greene,1094,1070,9,2,0,2,11,360,121,231
470593008,1,03 Caney Branch Voting District,Greene,1597,1531,4,30,7,8,17,639,137,492
470593072,1,04 McDonald Voting District,Greene,1384,1349,1,25,0,1,8,516,100,410
470593104,1,05 Orebank Voting District,Greene,889,851,3,31,1,0,3,330,81,243
470593044,1,25 Glenwood Voting District,Greene,1358,1331,4,8,1,0,14,592,144,434
470593028,1,09 Debusk Voting District,Greene,3855,3708,34,71,17,6,19,1659,397,1233
470593040,1,01 Forest Hills Voting District,Greene,2967,2833,14,83,3,4,30,948,283,651
470593012,1,15 Jockey Voting District,Greene,2592,2424,49,86,4,4,25,887,234,647
470593016,1,14 Chucky Doak Voting District,Greene,2733,2636,14,49,10,1,23,1003,258,726
470593100,1,20 Newmansville Voting District,Greene,1802,1720,15,42,1,5,19,639,176,449
470593129,1,16 Union Temple Voting District,Greene,699,693,1,4,0,0,1,267,71,191
470593136,1,17 West Pines Voting District,Greene,2254,2215,1,26,1,2,9,736,184,544
470593120,1,13 Tusculum Corp Voting District,Greene,2646,2348,142,86,29,7,34,949,279,656
470593116,1,13 Tusculum North Voting District,Greene,888,842,15,14,1,4,12,316,84,229
470593020,1,10-2 Court House Voting District,Greene,3109,2853,108,93,17,4,34,1192,327,848
470593056,1,10-1 High School Voting District,Greene,1606,1443,80,39,8,1,35,682,220,454
470593112,1,24 Sunnyside Voting District,Greene,2254,2122,22,62,11,9,28,753,183,556
470593124,1,10-1 Tusculum View Voting District,Greene,2884,2449,88,277,35,6,29,1129,328,780
470593032,1,10-1 East View Voting District,Greene,1871,1758,52,22,12,1,26,953,301,638
470593117,1,13 Tusculum South Voting District,Greene,1013,972,13,14,7,0,7,448,121,318
470593036,1,02 Flag Branch Voting District,Greene,2127,2032,8,38,3,14,32,806,232,564
470593048,1,22 Greystone Voting District,Greene,2517,2426,18,38,2,7,26,852,220,622
470593080,1,19 Midway Voting District,Greene,1946,1899,9,17,1,10,10,592,185,395
470593084,1,06 Mohawk Voting District,Greene,2015,1935,14,40,1,2,23,515,162,342
470613150,4,Tarlton Voting District,Grundy,140,134,3,2,0,0,1,108,19,87
470613152,4,Beersheba Voting District,Grundy,556,548,0,0,1,0,7,173,79,94
470613164,4,Altamont Voting District,Grundy,1838,1782,4,26,3,10,13,602,239,339
470613192,4,Collins Voting District,Grundy,316,308,0,7,0,0,1,122,65,55
470613166,4,Central Voting District,Grundy,503,491,0,3,5,0,4,155,61,92
470613200,4,Tracy Voting District,Grundy,3128,3046,4,16,2,25,35,1119,459,643
470613178,4,Cross Roads Voting District,Grundy,375,370,0,0,0,3,2,200,83,115
470613184,4,Pelham Voting District,Grundy,549,528,2,8,1,3,7,200,68,129
470613144,4,Hubbard's Cove Voting District,Grundy,296,272,0,17,4,1,2,72,33,35
470613160,4,Coalmont Voting District,Grundy,1377,1348,0,2,0,5,22,425,199,213
470613176,4,Monteagle Voting District,Grundy,1480,1403,23,17,5,11,21,493,195,288
470613180,4,Palmer Voting District,Grundy,923,910,0,0,0,4,9,260,154,101
470613168,4,Gruetli Voting District,Grundy,2222,2181,0,15,4,1,21,703,317,372
470633208,1,10-1 Fish Hatchery Voting District,Hamblen,1499,1449,14,12,3,2,19,624,150,470
470633212,1,10-2 Union Heights Voting District,Hamblen,3137,2949,44,68,21,3,52,1260,344,898
470633264,1,8-1 National Guard Armory Voting District,Hamblen,4222,3955,119,85,10,2,51,1700,496,1180
470633248,1,4-1 West High Voting District,Hamblen,4839,3184,317,1160,39,20,119,1068,418,635
470633244,1,3-3 East High School Voting District,Hamblen,4296,3169,229,772,51,9,66,1419,508,884
470633220,1,11-2 Witt School Voting District,Hamblen,1467,1344,14,75,7,3,24,547,159,371
470633252,1,5-1 West View Voting District,Hamblen,3515,2716,85,632,49,1,32,1500,371,1113
470633216,1,11-1 West High School Voting District,Hamblen,2996,2400,122,414,15,7,38,768,265,481
470633236,1,1-1 Courthouse Voting District,Hamblen,4311,2850,503,794,28,1,135,1154,538,603
